DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
東松山市立市民病院,埼玉県,平成28年度新規DPC準備病院,146.0,146.0,完全一致,1.0,東松山市立市民病院,,
社会医療法人社団菊田会習志野第一病院,千葉県,平成28年度新規DPC準備病院,144.0,183.0,完全一致,1.0,社会医療法人社団菊田会習志野第一病院,,
医療法人新都市医療研究会「君津」会玄々堂君津病院,千葉県,平成28年度新規DPC準備病院,120.0,160.0,完全一致,1.0,医療法人新都市医療研究会「君津」会玄々堂君津病院,,
医療法人　健寿会　黒木病院,宮崎県,平成26年度新規DPC準備病院,45.0,60.0,サフィックス一致,0.9,黒木病院,,
医療法人社団春陽会春陽会中央病院,鹿児島県,平成26年度新規DPC準備病院,40.0,100.0,未結合,,,,
医療法人臼井会　田野病院,高知県,平成22年度新規DPC準備病院,41.0,103.0,サフィックス一致,0.9,田野病院,,
聖陵岩里病院,大分県,平成22年度新規DPC準備病院,30.0,55.0,完全一致,1.0,聖陵岩里病院,,
医療法人　仁陽会　西岡第一病院,北海道,平成24年度新規DPC準備病院,60.0,60.0,完全一致,1.0,社会医療法人 仁陽会 西岡第一病院,,
医療法人社団 養生館　苫小牧日翔病院,北海道,平成24年度新規DPC準備病院,168.0,168.0,完全一致,1.0,医療法人社団養生館苫小牧日翔病院,,
村上新町病院,青森県,平成24年度新規DPC準備病院,46.0,78.0,完全一致,1.0,村上新町病院,,
医療法人博愛会一関病院,岩手県,平成24年度新規DPC準備病院,0.0,110.0,サフィックス一致,0.9,一関病院,,
医療法人　野上病院,大阪府,平成21年度新規DPC準備病院,52.0,163.0,サフィックス一致,0.9,医療法人晴心会野上病院,,
医療法人　青心会　郡山青藍病院,奈良県,平成21年度新規DPC準備病院,60.0,140.0,完全一致,1.0,医療法人青心会 郡山青藍病院,,
下田メディカルセンター,静岡県,平成24年度新規DPC準備病院,52.0,134.0,完全一致,1.0,下田メディカルセンター,,
医療法人友仁会　友仁山崎病院,滋賀県,平成24年度新規DPC準備病院,50.0,147.0,完全一致,1.0,医療法人友仁会友仁山崎病院,,
医療法人大慶会　星光病院,大阪府,平成24年度新規DPC準備病院,89.0,89.0,完全一致,1.0,医療法人大慶会星光病院,,
大阪医科薬科大学三島南病院,大阪府,平成24年度新規DPC準備病院,47.0,214.0,完全一致,1.0,大阪医科薬科大学三島南病院,,
医療法人ラポール会　青山脳神経外科病院,大阪府,平成24年度新規DPC準備病院,50.0,50.0,完全一致,1.0,医療法人ラポール会青山脳神経外科病院,,
社会医療法人盛和会本田病院,大阪府,平成24年度新規DPC準備病院,40.0,100.0,完全一致,1.0,社会医療法人盛和会本田病院,,
岐阜清流病院,岐阜県,平成22年度新規DPC準備病院,113.0,316.0,完全一致,1.0,岐阜清流病院,,
医療法人社団曙会　シムラ病院,広島県,平成22年度新規DPC準備病院,49.0,117.0,完全一致,1.0,医療法人社団曙会 シムラ病院,,
医療法人　叙叙会　福山第一病院,広島県,平成24年度新規DPC準備病院,82.0,132.0,完全一致,1.0,医療法人叙叙会 福山第一病院,,
産業医科大学若松病院,福岡県,平成24年度新規DPC準備病院,133.0,150.0,完全一致,1.0,産業医科大学若松病院,,
医療法人　しょうわ会　正和中央病院,福岡県,平成24年度新規DPC準備病院,23.0,77.0,完全一致,1.0,医療法人しょうわ会 正和中央病院,,
小城市民病院,佐賀県,平成24年度新規DPC準備病院,45.0,60.0,完全一致,1.0,小城市民病院,,
社会医療法人鳩仁会札幌中央病院,北海道,平成26年度新規DPC準備病院,160.0,180.0,サフィックス一致,0.9,札幌中央病院,,
医療法人為久会札幌共立五輪橋病院,北海道,平成26年度新規DPC準備病院,150.0,188.0,完全一致,1.0,医療法人為久会 札幌共立五輪橋病院,,
豊岡第一病院,埼玉県,平成24年度新規DPC準備病院,78.0,78.0,完全一致,1.0,豊岡第一病院,,
独立行政法人　国立病院機構　神奈川病院,神奈川県,平成24年度新規DPC準備病院,30.0,280.0,サフィックス一致,0.9,独立行政法人国立病院機構神奈川病院,,
社会医療法人　恵佑会第2病院,北海道,平成26年度新規DPC準備病院,135.0,135.0,完全一致,1.0,社会医療法人恵佑会第２病院,,
医療法人　脳神経研究センター　新さっぽろ脳神経外科病院,北海道,平成26年度新規DPC準備病院,80.0,135.0,未結合,,,,
学校法人　東北医科薬科大学　東北医科薬科大学若林病院,宮城県,平成26年度新規DPC準備病院,95.0,127.0,サフィックス一致,0.9,東北医科薬科大学若林病院,,
きぬ医師会病院,茨城県,平成26年度新規DPC準備病院,124.0,124.0,完全一致,1.0,きぬ医師会病院,,
県北医療センター高萩協同病院,茨城県,平成26年度新規DPC準備病院,89.0,144.0,完全一致,1.0,県北医療センター高萩協同病院,,
社会福祉法人白十字会白十字総合病院,茨城県,平成26年度新規DPC準備病院,174.0,304.0,完全一致,1.0,社会福祉法人白十字会 白十字総合病院,,
医療法人社団　菫会　名谷病院,兵庫県,平成24年度新規DPC準備病院,41.0,112.0,完全一致,1.0,医療法人社団菫会 名谷病院,,
医療法人　須佐病院,和歌山県,平成24年度新規DPC準備病院,45.0,60.0,完全一致,1.0,医療法人　須佐病院,,
公益社団法人花巻共立会　総合花巻病院,岩手県,平成20年度新規DPC準備病院,88.0,198.0,未結合,,,,
社会医療法人　社団　慶友会　慶友整形外科病院,群馬県,平成20年度新規DPC準備病院,137.0,137.0,サフィックス一致,0.9,慶友整形外科病院,,
医療法人社団桐光会　調布病院,東京都,平成20年度新規DPC準備病院,107.0,150.0,完全一致,1.0,医療法人社団桐光会 調布病院,,
医療法人社団　敬誠会　合志病院,兵庫県,平成20年度新規DPC準備病院,87.0,99.0,サフィックス一致,0.9,合志病院,,
和歌山中央医療生活協同組合　和歌山生協病院,和歌山県,平成20年度新規DPC準備病院,56.0,149.0,サフィックス一致,0.9,和歌山生協病院,,
公益財団法人　大原記念倉敷中央医療機構　倉敷中央病院リバーサイド,岡山県,平成20年度新規DPC準備病院,50.0,130.0,完全一致,1.0,公益財団法人大原記念倉敷中央医療機構倉敷中央病院リバーサイド,,
医療法人　桂会　平尾病院,奈良県,"平成18,19年度新規DPC準備病院",99.0,99.0,完全一致,1.0,医療法人桂会 平尾病院,,
医療法人誠和会　倉敷紀念病院,岡山県,"平成18,19年度新規DPC準備病院",0.0,148.0,完全一致,1.0,医療法人誠和会倉敷紀念病院,,
一般社団法人福岡県社会保険医療協会　社会保険仲原病院,福岡県,平成20年度新規DPC準備病院,46.0,125.0,サフィックス一致,0.9,社会保険仲原病院,,
医療法人社団　誠和会　牟田病院,福岡県,平成20年度新規DPC準備病院,45.0,163.0,完全一致,1.0,医療法人社団誠和会 牟田病院,,
医療法人恵光会　原病院,福岡県,平成20年度新規DPC準備病院,0.0,220.0,完全一致,1.0,医療法人恵光会原病院,,
医療法人　社団誠心会　萩原中央病院,福岡県,平成20年度新規DPC準備病院,45.0,115.0,サフィックス一致,0.9,医療法人社団誠心会 萩原中央病院,,
独立行政法人地域医療機能推進機構　松浦中央病院,長崎県,平成20年度新規DPC準備病院,47.0,85.0,完全一致,1.0,独立行政法人地域医療機能推進機構　松浦中央病院,,
医療法人社団　中津胃腸病院,大分県,平成20年度新規DPC準備病院,37.0,112.0,完全一致,1.0,中津胃腸病院,,
医療法人　仁友会　北彩都病院,北海道,平成20年度新規DPC準備病院,116.0,116.0,完全一致,1.0,医療法人仁友会北彩都病院,,
医療法人社団医修会　大川原脳神経外科病院,北海道,平成20年度新規DPC準備病院,60.0,137.0,サフィックス一致,0.9,大川原脳神経外科病院,,
社会医療法人貞仁会　新札幌ひばりが丘病院,北海道,平成21年度新規DPC準備病院,0.0,143.0,完全一致,1.0,社会医療法人貞仁会　新札幌ひばりが丘病院,,
総合病院　浦河赤十字病院,北海道,平成21年度新規DPC準備病院,58.0,146.0,完全一致,1.0,総合病院浦河赤十字病院,,
北村山公立病院,山形県,平成21年度新規DPC準備病院,216.0,270.0,完全一致,1.0,北村山公立病院,,
社会医療法人　恒貴会　協和中央病院,茨城県,平成21年度新規DPC準備病院,165.0,199.0,完全一致,1.0,社会医療法人恒貴会協和中央病院,,
医療法人社団　高裕会　深川立川病院,東京都,平成21年度新規DPC準備病院,60.0,90.0,完全一致,1.0,医療法人社団高裕会 深川立川病院,,
相模原中央病院,神奈川県,平成21年度新規DPC準備病院,102.0,157.0,完全一致,1.0,相模原中央病院,,
医療法人竹下会　竹下病院,高知県,平成20年度新規DPC準備病院,18.0,76.0,サフィックス一致,0.9,竹下病院,,
医療法人　井上会　篠栗病院,福岡県,平成20年度新規DPC準備病院,45.0,260.0,完全一致,1.0,医療法人井上会篠栗病院,,
一般財団法人　札幌同交会病院,北海道,平成22年度新規DPC準備病院,59.0,107.0,完全一致,1.0,一般財団法人 札幌同交会病院,,
社会医療法人　朋仁会　整形外科　北新病院,北海道,平成22年度新規DPC準備病院,112.0,112.0,完全一致,1.0,社会医療法人朋仁会　整形外科北新病院,,
医療法人　卓和会　藤井脳神経外科病院,栃木県,平成22年度新規DPC準備病院,56.0,113.0,サフィックス一致,0.9,藤井脳神経外科病院,,
医療法人社団協友会　メディカルトピア草加病院,埼玉県,平成22年度新規DPC準備病院,80.0,80.0,完全一致,1.0,医療法人社団協友会メディカルトピア草加病院,,
社会福祉法人　ワゲン福祉会　総合相模更生病院,神奈川県,平成22年度新規DPC準備病院,181.0,181.0,サフィックス一致,0.9,総合相模更生病院,,
瀬口脳神経外科病院,長野県,平成22年度新規DPC準備病院,41.0,41.0,完全一致,1.0,瀬口脳神経外科病院,,
垂水市立医療センター　垂水中央病院,鹿児島県,平成20年度新規DPC準備病院,46.0,126.0,完全一致,1.0,垂水市立医療センター垂水中央病院,,
医療法人　麻生整形外科病院,北海道,平成21年度新規DPC準備病院,53.0,53.0,完全一致,1.0,医療法人 麻生整形外科病院,,
沖縄県立宮古病院,沖縄県,平成21年度DPC参加病院,178.0,273.0,完全一致,1.0,沖縄県立宮古病院,,
沖縄県立八重山病院,沖縄県,平成21年度DPC参加病院,211.0,255.0,完全一致,1.0,沖縄県立八重山病院,,
一般財団法人三宅医学研究所附属三宅リハビリテーション病院,香川県,"平成18,19年度新規DPC準備病院",25.0,61.0,完全一致,1.0,一般財団法人三宅医学研究所附属三宅リハビリテーション病院,,
野口病院,大分県,"平成18,19年度新規DPC準備病院",120.0,120.0,完全一致,1.0,野口病院,,
札幌循環器病院,北海道,"平成18,19年度新規DPC準備病院",89.0,89.0,完全一致,1.0,札幌循環器病院,,
社会医療法人　耳鼻咽喉科麻生病院,北海道,"平成18,19年度新規DPC準備病院",35.0,35.0,完全一致,1.0,社会医療法人 耳鼻咽喉科麻生病院,,
社会医療法人仁愛会浦添総合病院,沖縄県,平成18年度DPC参加病院,334.0,334.0,完全一致,1.0,社会医療法人仁愛会 浦添総合病院,,
医療法人八重瀬会　同仁病院,沖縄県,平成30年度DPC参加病院,100.0,154.0,完全一致,1.0,医療法人八重瀬会 同仁病院,,
社会医療法人耳鼻咽喉科麻生北見病院,北海道,"平成18,19年度新規DPC準備病院",44.0,44.0,完全一致,1.0,社会医療法人耳鼻咽喉科麻生北見病院,,
医療生協わたり病院,福島県,"平成18,19年度新規DPC準備病院",100.0,192.0,完全一致,1.0,医療生協わたり病院,,
神栖済生会病院,茨城県,"平成18,19年度新規DPC準備病院",120.0,120.0,完全一致,1.0,神栖済生会病院,,
医療法人積仁会　島田総合病院,千葉県,"平成18,19年度新規DPC準備病院",96.0,96.0,完全一致,1.0,医療法人積仁会島田総合病院,,
社会医療法人社団　医善会　いずみ記念病院,東京都,"平成18,19年度新規DPC準備病院",54.0,144.0,完全一致,1.0,社会医療法人社団 医善会 いずみ記念病院,,
医療法人社団　KNI　北原国際病院,東京都,"平成18,19年度新規DPC準備病院",87.0,87.0,完全一致,1.0,医療法人社団ＫＮＩ北原国際病院,,
沖縄県立北部病院,沖縄県,平成20年度DPC参加病院,197.0,236.0,完全一致,1.0,沖縄県立北部病院,,
沖縄赤十字病院,沖縄県,平成20年度DPC参加病院,219.0,245.0,完全一致,1.0,沖縄赤十字病院,,
医療法人蜂友会　はちや整形外科病院,愛知県,"平成18,19年度新規DPC準備病院",52.0,52.0,完全一致,1.0,医療法人蜂友会はちや整形外科病院,,
医療法人　鉄友会　宇野病院,愛知県,"平成18,19年度新規DPC準備病院",38.0,180.0,完全一致,1.0,医療法人鉄友会 宇野病院,,
社会福祉法人　京都社会事業財団　西陣病院,京都府,"平成18,19年度新規DPC準備病院",171.0,295.0,完全一致,1.0,社会福祉法人京都社会事業財団西陣病院,,
社会医療法人　健康会　京都南病院,京都府,"平成18,19年度新規DPC準備病院",0.0,199.0,完全一致,1.0,社会医療法人健康会　京都南病院,,
医療法人　邦徳会　邦和病院,大阪府,"平成18,19年度新規DPC準備病院",48.0,119.0,完全一致,1.0,医療法人 邦徳会 邦和病院,,
医療法人社団　光風会　長久病院,兵庫県,"平成18,19年度新規DPC準備病院",38.0,50.0,完全一致,1.0,医療法人社団光風会長久病院,,
社会医療法人豊生会　東苗穂病院,北海道,"平成18,19年度新規DPC準備病院",60.0,161.0,完全一致,1.0,医療法人社団豊生会 東苗穂病院,,
医療法人秀友会　札幌秀友会病院,北海道,"平成18,19年度新規DPC準備病院",26.0,138.0,完全一致,1.0,医療法人秀友会 札幌秀友会病院,,
医療法人　三和会　国吉病院,高知県,"平成18,19年度新規DPC準備病院",42.0,106.0,サフィックス一致,0.9,国吉病院,,
公益財団法人小倉医療協会　三萩野病院,福岡県,"平成18,19年度新規DPC準備病院",48.0,146.0,サフィックス一致,0.9,三萩野病院,,
諫早記念病院,長崎県,"平成18,19年度新規DPC準備病院",34.0,112.0,完全一致,1.0,諫早記念病院,,
医療法人慈風会　厚地脳神経外科病院,鹿児島県,"平成18,19年度新規DPC準備病院",60.0,60.0,サフィックス一致,0.9,厚地脳神経外科病院,,
医療法人　彰和会　北海道消化器科病院,北海道,平成20年度新規DPC準備病院,163.0,177.0,完全一致,1.0,医療法人彰和会 北海道消化器科病院,,
社会医療法人　札幌清田病院,北海道,平成20年度新規DPC準備病院,79.0,109.0,完全一致,1.0,社会医療法人 札幌清田病院,,
右田病院,東京都,"平成18,19年度新規DPC準備病院",0.0,118.0,サフィックス一致,0.9,医療法人財団興和会 右田病院,,
三浦市立病院,神奈川県,"平成18,19年度新規DPC準備病院",89.0,136.0,完全一致,1.0,三浦市立病院,,
出水総合医療センター,鹿児島県,平成20年度DPC参加病院,136.0,215.0,完全一致,1.0,出水総合医療センター,,
社会医療法人義順顕彰会　種子島医療センター,鹿児島県,平成21年度DPC参加病院,98.0,188.0,完全一致,1.0,社会医療法人義順顕彰会 種子島医療センター,,
社会福祉法人　恩賜財団　済生会川内病院,鹿児島県,平成21年度DPC参加病院,208.0,208.0,サフィックス一致,0.9,済生会川内病院,,
川内市医師会立市民病院,鹿児島県,平成18年度DPC参加病院,149.0,193.0,完全一致,1.0,川内市医師会立市民病院,,
霧島市立医師会医療センター,鹿児島県,平成21年度DPC参加病院,200.0,254.0,完全一致,1.0,霧島市立医師会医療センター,,
国分生協病院,鹿児島県,平成26年度DPC参加病院,90.0,129.0,完全一致,1.0,国分生協病院,,
米盛病院,鹿児島県,平成20年度DPC参加病院,306.0,506.0,完全一致,1.0,米盛病院,,
鹿児島厚生連病院,鹿児島県,平成21年度DPC参加病院,94.0,184.0,完全一致,1.0,鹿児島厚生連病院,,
医療法人　徳洲会　名瀬徳洲会病院,鹿児島県,平成30年度DPC参加病院,163.0,308.0,サフィックス一致,0.9,名瀬徳洲会病院,,
青雲会病院,鹿児島県,平成26年度DPC参加病院,100.0,136.0,完全一致,1.0,青雲会病院,,
県立　薩南病院,鹿児島県,平成24年度DPC参加病院,150.0,160.0,完全一致,1.0,県立薩南病院,,
県立大島病院,鹿児島県,平成22年度DPC参加病院,284.0,299.0,サフィックス一致,0.9,鹿児島県立大島病院,,
県立　北薩病院,鹿児島県,平成22年度DPC参加病院,50.0,50.0,完全一致,1.0,県立北薩病院,,
県民健康プラザ鹿屋医療センター,鹿児島県,平成22年度DPC参加病院,150.0,150.0,完全一致,1.0,県民健康プラザ鹿屋医療センター,,
恒心会おぐら病院,鹿児島県,平成20年度DPC参加病院,116.0,216.0,完全一致,1.0,恒心会おぐら病院,,
出水郡医師会広域医療センター,鹿児島県,平成20年度DPC参加病院,126.0,216.0,完全一致,1.0,出水郡医師会広域医療センター,,
地方独立行政法人　那覇市立病院,沖縄県,平成20年度DPC参加病院,455.0,455.0,完全一致,1.0,地方独立行政法人那覇市立病院,,
沖縄協同病院,沖縄県,平成20年度DPC参加病院,280.0,280.0,完全一致,1.0,沖縄協同病院,,
医療法人おもと会　大浜第一病院,沖縄県,平成20年度DPC参加病院,173.0,217.0,完全一致,1.0,医療法人おもと会 大浜第一病院,,
社会医療法人　敬愛会中頭病院,沖縄県,平成16年度DPC参加病院,355.0,355.0,完全一致,1.0,社会医療法人 敬愛会 中頭病院,,
医療法人徳洲会　宮古島徳洲会病院,沖縄県,平成21年度DPC参加病院,53.0,99.0,サフィックス一致,0.9,宮古島徳洲会病院,,
医療法人博愛会牧港中央病院,沖縄県,令和2年度DPC参加病院,53.0,99.0,サフィックス一致,0.9,牧港中央病院,,
医療法人徳洲会屋久島徳洲会病院,鹿児島県,平成22年度DPC参加病院,45.0,140.0,サフィックス一致,0.9,屋久島徳洲会病院,,
医療法人　徳洲会　徳之島徳洲会病院,鹿児島県,平成22年度DPC参加病院,120.0,199.0,完全一致,1.0,医療法人徳洲会　徳之島徳洲会病院,,
公益社団法人　北部地区医師会　北部地区医師会病院,沖縄県,平成20年度DPC参加病院,181.0,236.0,完全一致,1.0,公益社団法人 北部地区医師会 北部地区医師会病院,,
社会医療法人　かりゆし会　ハートライフ病院,沖縄県,平成18年度DPC参加病院,308.0,308.0,完全一致,1.0,社会医療法人かりゆし会 ハートライフ病院,,
医療法人　徳洲会　中部徳洲会病院,沖縄県,平成20年度DPC参加病院,408.0,408.0,完全一致,1.0,医療法人　徳洲会　中部徳洲会病院,,
与那原中央病院,沖縄県,平成21年度DPC参加病院,96.0,170.0,完全一致,1.0,与那原中央病院,,
医療法人　徳洲会　南部徳洲会病院,沖縄県,平成20年度DPC参加病院,316.0,357.0,完全一致,1.0,医療法人徳洲会 南部徳洲会病院,,
沖縄県立中部病院,沖縄県,平成20年度DPC参加病院,511.0,511.0,完全一致,1.0,沖縄県立中部病院,,
独立行政法人国立病院機構　指宿医療センター,鹿児島県,平成23年度DPC参加病院,138.0,158.0,完全一致,1.0,独立行政法人国立病院機構指宿医療センター,,
独立行政法人国立病院機構南九州病院,鹿児島県,平成28年度DPC参加病院,135.0,425.0,完全一致,1.0,独立行政法人国立病院機構南九州病院,,
金丸脳神経外科病院,宮崎県,平成21年度DPC参加病院,52.0,100.0,完全一致,1.0,金丸脳神経外科病院,,
宮崎生協病院,宮崎県,平成21年度DPC参加病院,46.0,91.0,完全一致,1.0,宮崎生協病院,,
社会医療法人善仁会宮崎善仁会病院,宮崎県,平成23年度DPC参加病院,151.0,186.0,サフィックス一致,0.9,宮崎善仁会病院,,
宮崎市郡医師会病院,宮崎県,平成21年度DPC参加病院,255.0,267.0,完全一致,1.0,宮崎市郡医師会病院,,
藤元総合病院,宮崎県,平成21年度DPC参加病院,226.0,325.0,完全一致,1.0,藤元総合病院,,
橘病院,宮崎県,平成22年度DPC参加病院,50.0,92.0,完全一致,1.0,橘病院,,
杵築市立山香病院,大分県,令和2年度DPC参加病院,44.0,138.0,完全一致,1.0,杵築市立山香病院,,
宇佐高田医師会病院,大分県,平成21年度DPC参加病院,110.0,110.0,完全一致,1.0,宇佐高田医師会病院,,
医療法人誠和会和田病院,宮崎県,平成21年度DPC参加病院,30.0,142.0,完全一致,1.0,医療法人 誠和会和田病院,,
社会医療法人泉和会　千代田病院,宮崎県,平成26年度DPC参加病院,99.0,196.0,完全一致,1.0,社会医療法人泉和会千代田病院,,
独立行政法人国立病院機構　都城医療センター,宮崎県,平成24年度DPC参加病院,245.0,305.0,完全一致,1.0,独立行政法人国立病院機構都城医療センター,,
県立宮崎病院,宮崎県,平成21年度DPC参加病院,455.0,490.0,完全一致,1.0,県立宮崎病院,,
県立延岡病院,宮崎県,平成20年度DPC参加病院,388.0,388.0,サフィックス一致,0.9,宮崎県立延岡病院,,
県立日南病院,宮崎県,平成21年度DPC参加病院,179.0,229.0,完全一致,1.0,県立日南病院,,
古賀総合病院,宮崎県,平成20年度DPC参加病院,231.0,362.0,完全一致,1.0,古賀総合病院,,
南部病院,宮崎県,平成21年度DPC参加病院,35.0,72.0,完全一致,1.0,南部病院,,
総合病院　鹿児島生協病院,鹿児島県,平成21年度DPC参加病院,226.0,306.0,完全一致,1.0,総合病院鹿児島生協病院,,
中央病院,鹿児島県,平成21年度DPC参加病院,219.0,219.0,完全一致,1.0,中央病院,,
今村総合病院,鹿児島県,平成18年度DPC参加病院,330.0,428.0,完全一致,1.0,今村総合病院,,
鹿児島市医師会病院,鹿児島県,平成21年度DPC参加病院,148.0,199.0,完全一致,1.0,鹿児島市医師会病院,,
いづろ今村病院,鹿児島県,平成18年度DPC参加病院,35.0,115.0,完全一致,1.0,いづろ今村病院,,
相良病院,鹿児島県,平成20年度DPC参加病院,56.0,80.0,完全一致,1.0,相良病院,,
都城市郡医師会病院,宮崎県,平成26年度DPC参加病院,224.0,224.0,完全一致,1.0,都城市郡医師会病院,,
小林市立病院,宮崎県,平成30年度DPC参加病院,100.0,147.0,完全一致,1.0,小林市立病院,,
いまきいれ総合病院,鹿児島県,平成20年度DPC参加病院,350.0,350.0,完全一致,1.0,いまきいれ総合病院,,
社会医療法人童仁会　池田病院,鹿児島県,令和6年度DPC参加病院,27.0,27.0,未結合,,,,
医療法人　徳洲会　鹿児島徳洲会病院,鹿児島県,平成21年度DPC参加病院,130.0,310.0,サフィックス一致,0.9,鹿児島徳洲会病院,,
医療法人　青仁会　池田病院,鹿児島県,平成20年度DPC参加病院,123.0,189.0,未結合,,,,
医療法人徳洲会　大隅鹿屋病院,鹿児島県,平成21年度DPC参加病院,266.0,391.0,サフィックス一致,0.9,大隅鹿屋病院,,
徳田脳神経外科病院,鹿児島県,平成24年度DPC参加病院,30.0,70.0,完全一致,1.0,徳田脳神経外科病院,,
公益社団法人　鹿児島共済会　南風病院,鹿児島県,平成18年度DPC参加病院,273.0,320.0,完全一致,1.0,公益社団法人鹿児島共済会 南風病院,,
鹿児島赤十字病院,鹿児島県,平成22年度DPC参加病院,80.0,120.0,完全一致,1.0,鹿児島赤十字病院,,
独立行政法人地域医療機能推進機構　天草中央総合病院,熊本県,平成16年度DPC参加病院,93.0,155.0,完全一致,1.0,独立行政法人地域医療機能推進機構 天草中央総合病院,,
上天草市立上天草総合病院,熊本県,平成28年度DPC参加病院,72.0,195.0,完全一致,1.0,上天草市立上天草総合病院,,
球磨郡公立多良木病院,熊本県,平成21年度DPC参加病院,99.0,150.0,完全一致,1.0,球磨郡公立多良木病院,,
熊本市立植木病院,熊本県,平成21年度DPC参加病院,65.0,110.0,完全一致,1.0,熊本市立植木病院,,
くまもと県北病院,熊本県,平成20年度DPC参加病院,270.0,402.0,完全一致,1.0,くまもと県北病院,,
社会医療法人恵愛会　大分中村病院,大分県,令和2年度DPC参加病院,120.0,260.0,完全一致,1.0,社会医療法人恵愛会 大分中村病院,,
独立行政法人国立病院機構熊本医療センター,熊本県,平成18年度DPC参加病院,500.0,550.0,完全一致,1.0,独立行政法人国立病院機構熊本医療センター,,
山鹿市民医療センター,熊本県,平成21年度DPC参加病院,144.0,195.0,完全一致,1.0,山鹿市民医療センター,,
大分こども病院,大分県,令和2年度DPC参加病院,30.0,30.0,完全一致,1.0,大分こども病院,,
大分三愛メディカルセンター,大分県,平成21年度DPC参加病院,118.0,190.0,完全一致,1.0,大分三愛メディカルセンター,,
大分市医師会立アルメイダ病院,大分県,平成21年度DPC参加病院,305.0,370.0,完全一致,1.0,大分市医師会立アルメイダ病院,,
河野脳神経外科病院,大分県,平成21年度DPC参加病院,40.0,40.0,完全一致,1.0,河野脳神経外科病院,,
国家公務員共済組合連合会新別府病院,大分県,平成18年度DPC参加病院,210.0,261.0,完全一致,1.0,国家公務員共済組合連合会 新別府病院,,
大分県厚生連鶴見病院,大分県,平成21年度DPC参加病院,230.0,230.0,完全一致,1.0,大分県厚生連鶴見病院,,
独立行政法人地域医療機能推進機構　熊本総合病院,熊本県,平成16年度DPC参加病院,342.0,398.0,完全一致,1.0,独立行政法人地域医療機能推進機構 熊本総合病院,,
独立行政法人地域医療機能推進機構　人吉医療センター,熊本県,平成16年度DPC参加病院,222.0,252.0,完全一致,1.0,独立行政法人地域医療機能推進機構 人吉医療センター,,
日田中央病院,大分県,平成23年度DPC参加病院,42.0,82.0,サフィックス一致,0.9,医療法人咸宜会日田中央病院,,
大分県済生会日田病院,大分県,平成21年度DPC参加病院,120.0,199.0,完全一致,1.0,大分県済生会 日田病院,,
独立行政法人地域医療機能推進機構　南海医療センター,大分県,平成18年度DPC参加病院,153.0,195.0,完全一致,1.0,独立行政法人地域医療機能推進機構 南海医療センター,,
一般社団法人臼杵市医師会臼杵市医師会立コスモス病院,大分県,令和2年度DPC参加病院,90.0,180.0,サフィックス一致,0.9,臼杵市医師会立コスモス病院,,
津久見市医師会立津久見中央病院,大分県,令和6年度DPC参加病院,120.0,120.0,完全一致,1.0,津久見市医師会立津久見中央病院,,
高田中央病院,大分県,平成21年度DPC参加病院,108.0,138.0,完全一致,1.0,高田中央病院,,
大分記念病院,大分県,平成21年度DPC参加病院,49.0,118.0,完全一致,1.0,大分記念病院,,
大分岡病院,大分県,平成18年度DPC参加病院,203.0,203.0,完全一致,1.0,大分岡病院,,
豊後大野市民病院,大分県,令和2年度DPC参加病院,88.0,199.0,完全一致,1.0,豊後大野市民病院,,
国東市民病院,大分県,令和2年度DPC参加病院,98.0,199.0,完全一致,1.0,国東市民病院,,
独立行政法人国立病院機構　別府医療センター,大分県,平成21年度DPC参加病院,387.0,417.0,完全一致,1.0,独立行政法人国立病院機構別府医療センター,,
独立行政法人国立病院機構　大分医療センター,大分県,平成26年度DPC参加病院,225.0,285.0,完全一致,1.0,独立行政法人国立病院機構大分医療センター,,
大分赤十字病院,大分県,平成20年度DPC参加病院,290.0,339.0,完全一致,1.0,大分赤十字病院,,
潤和リハビリテーション振興財団潤和会記念病院,宮崎県,平成20年度DPC参加病院,164.0,446.0,サフィックス一致,0.9,潤和会記念病院,,
中津市立中津市民病院,大分県,平成20年度DPC参加病院,208.0,250.0,完全一致,1.0,中津市立中津市民病院,,
川嶌整形外科病院,大分県,平成20年度DPC参加病院,62.0,143.0,完全一致,1.0,川嶌整形外科病院,,
日本赤十字社　長崎原爆病院,長崎県,平成18年度DPC参加病院,253.0,315.0,完全一致,1.0,日本赤十字社長崎原爆病院,,
社会福祉法人恩賜財団済生会支部　済生会長崎病院,長崎県,平成20年度DPC参加病院,164.0,205.0,完全一致,1.0,社会福祉法人恩賜財団済生会支部済生会長崎病院,,
公立小浜温泉病院,長崎県,平成21年度DPC参加病院,60.0,150.0,完全一致,1.0,公立小浜温泉病院,,
長崎県上五島病院,長崎県,平成30年度DPC参加病院,60.0,110.0,完全一致,1.0,長崎県上五島病院,,
長崎県五島中央病院,長崎県,平成30年度DPC参加病院,144.0,264.0,完全一致,1.0,長崎県五島中央病院,,
長崎県島原病院,長崎県,平成20年度DPC参加病院,157.0,207.0,完全一致,1.0,長崎県島原病院,,
医療法人光善会　長崎百合野病院,長崎県,平成26年度DPC参加病院,60.0,160.0,サフィックス一致,0.9,長崎百合野病院,,
