DPC施設名,都道府県,病院類型,DPC算定病床数,病床総数,マッチ状態,スコア,病床報告施設名,候補2,候補3
一般財団法人関東厚生福祉会朝霞厚生病院,埼玉県,令和5年度出来高算定病院,39.0,85.0,サフィックス一致,0.9,朝霞厚生病院,,
西熊谷病院,埼玉県,令和5年度出来高算定病院,0.0,528.0,未結合,,,,
社会医療法人公徳会若宮病院,山形県,令和5年度出来高算定病院,0.0,113.0,未結合,,,,
社会医療法人公徳会米沢こころの病院,山形県,令和5年度出来高算定病院,0.0,114.0,未結合,,,,
医療法人向英会髙田整形外科病院,埼玉県,令和5年度出来高算定病院,40.0,40.0,完全一致,1.0,医療法人向英会髙田整形外科病院,,
医療法人学而会木村病院,千葉県,令和5年度出来高算定病院,0.0,118.0,未結合,,,,
医療法人社団誠馨会自動車事故対策機構千葉療護センター,千葉県,令和5年度出来高算定病院,0.0,80.0,完全一致,1.0,医療法人社団誠馨会自動車事故対策機構千葉療護センター,,
医療法人社団緑祐会永野病院,千葉県,令和5年度出来高算定病院,60.0,60.0,完全一致,1.0,医療法人社団緑祐会永野病院,,
医療法人社団満葉会くぼのやウィメンズホスピタル,千葉県,令和5年度出来高算定病院,40.0,40.0,サフィックス一致,0.9,くぼのやウィメンズホスピタル,,
医療法人社団成和会山口病院,千葉県,令和5年度出来高算定病院,41.0,41.0,完全一致,1.0,医療法人社団成和会山口病院,,
医療法人赤城会三枚橋病院,群馬県,令和5年度出来高算定病院,0.0,233.0,未結合,,,,
ふれあい生協病院,埼玉県,令和5年度出来高算定病院,0.0,54.0,完全一致,1.0,ふれあい生協病院,,
独立行政法人国立病院機構下総精神医療センター,千葉県,令和5年度出来高算定病院,0.0,246.0,未結合,,,,
令和あらかわ病院,東京都,令和5年度出来高算定病院,129.0,240.0,完全一致,1.0,令和あらかわ病院,,
医療法人財団厚生協会大泉病院,東京都,令和5年度出来高算定病院,0.0,240.0,未結合,,,,
慈雲堂病院,東京都,令和5年度出来高算定病院,0.0,476.0,完全一致,1.0,慈雲堂病院,,
医療法人社団新新会多摩あおば病院,東京都,令和5年度出来高算定病院,0.0,206.0,未結合,,,,
医療法人財団青溪会駒木野病院,東京都,令和5年度出来高算定病院,0.0,447.0,未結合,,,,
医療法人社団宏仁会小川病院,埼玉県,令和5年度出来高算定病院,34.0,34.0,完全一致,1.0,宏仁会小川病院,,
医療法人愛應会騎西病院,埼玉県,令和5年度出来高算定病院,80.0,80.0,完全一致,1.0,医療法人愛應会騎西病院,,
兵庫県立粒子線医療センター,兵庫県,令和5年度出来高算定病院,50.0,50.0,完全一致,1.0,兵庫県立粒子線医療センター,,
関西青少年サナトリューム,兵庫県,令和5年度出来高算定病院,0.0,331.0,未結合,,,,
医療法人実風会新生病院,兵庫県,令和5年度出来高算定病院,0.0,168.0,未結合,,,,
社会福祉法人東大寺福祉事業団東大寺福祉療育病院,奈良県,令和5年度出来高算定病院,0.0,106.0,サフィックス一致,0.9,東大寺福祉療育病院,,
和歌山県福祉事業団南紀医療福祉センター,和歌山県,令和5年度出来高算定病院,0.0,64.0,サフィックス一致,0.9,南紀医療福祉センター,,
社会医療法人清和会西川病院,島根県,令和5年度出来高算定病院,0.0,402.0,未結合,,,,
社会福祉法人愛徳福祉会大阪発達総合療育センター南大阪小児リハビリテーション病院,大阪府,令和5年度出来高算定病院,0.0,120.0,未結合,,,,
社会福祉法人恩賜財団済生会支部大阪府済生会大阪北リハビリテーション病院,大阪府,令和5年度出来高算定病院,0.0,96.0,完全一致,1.0,社会福祉法人恩賜財団済生会支部大阪府済生会大阪北リハビリテーション病院,,
のぞえ総合心療病院,福岡県,令和5年度出来高算定病院,0.0,146.0,未結合,,,,
医療法人社団豊永会飯塚記念病院,福岡県,令和5年度出来高算定病院,0.0,400.0,未結合,,,,
向陽台病院,熊本県,令和5年度出来高算定病院,0.0,198.0,未結合,,,,
社会医療法人芳和会菊陽病院,熊本県,令和5年度出来高算定病院,0.0,223.0,未結合,,,,
熊本県こども総合療育センター,熊本県,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,熊本県こども総合療育センター,,
医療法人有隣会伊敷病院,鹿児島県,令和5年度出来高算定病院,19.0,229.0,サフィックス一致,0.9,伊敷病院,,
医療福祉センターのぎく,兵庫県,令和5年度出来高算定病院,0.0,60.0,完全一致,1.0,医療福祉センターのぎく,,
社会医療法人恵風会高岡病院,兵庫県,令和5年度出来高算定病院,0.0,404.0,未結合,,,,
医療法人社団心優会沼﨑病院,北海道,令和5年度出来高算定病院,28.0,40.0,完全一致,1.0,医療法人社団心優会沼﨑病院,,
ＪＡ北海道厚生連美深厚生病院,北海道,令和5年度出来高算定病院,0.0,52.0,完全一致,1.0,ＪＡ北海道厚生連美深厚生病院,,
町立厚岸病院,北海道,令和5年度出来高算定病院,55.0,55.0,完全一致,1.0,町立厚岸病院,,
大樹町立国民健康保険病院,北海道,令和5年度出来高算定病院,50.0,50.0,完全一致,1.0,大樹町立国民健康保険病院,,
北海道立緑ケ丘病院,北海道,令和5年度出来高算定病院,0.0,168.0,未結合,,,,
医療法人社団慶北会花田病院,北海道,令和5年度出来高算定病院,45.0,45.0,完全一致,1.0,医療法人社団慶北会花田病院,,
